"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"ISTANBUL GRILL METAIRIE","4.7","234","4407 Veterans Memorial Blvd","Metairie","Louisiana","US","https://istanbulnola.com/?utm_source=google","(504) 766-9877","Mediterranean restaurant","Caterer","Falafel restaurant","Family restaurant","Halal restaurant","Kebab shop","Middle Eastern restaurant","Turkish restaurant","Vegetarian restaurant",,"https://www.google.com/maps/search/?api=1&query=ISTANBUL%20GRILL%20METAIRIE&query_place_id=ChIJgy8w0V-xIIYRHl0iIpelI_A","Mediterranean restaurant"
"CAVA","4.5","680","4243 Veterans Memorial Blvd","Metairie","Louisiana","US","http://cava.com/","(504) 399-5148","Mediterranean restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CAVA&query_place_id=ChIJd3LhAQqxIIYRzx4oTzyPtnA","Mediterranean restaurant"
"Walk-On's Sports Bistreaux - Metairie Restaurant","4.5","2814","4436 Veterans Memorial Blvd","Metairie","Louisiana","US","https://locate.walk-ons.com/la/metairie/restaurants-12.html","(504) 273-1233","Restaurant","Sports bar",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Walk-On's%20Sports%20Bistreaux%20-%20Metairie%20Restaurant&query_place_id=ChIJoacIpV6wIIYR90vH9Ny5tj8","Restaurant"
"Reginelli's Pizzeria","4.5","545","4529 Clearview Pkwy","Metairie","Louisiana","US","http://www.reginellis.com/","(504) 309-2927","Pizza restaurant","Catering food and drink supplier","Italian restaurant","Pizza delivery","Pizza Takeout",,,,,,"https://www.google.com/maps/search/?api=1&query=Reginelli's%20Pizzeria&query_place_id=ChIJd6QuvP-wIIYRL6k5cXBVUhE","Pizza restaurant"
"Ruby Slipper Veterans","4.8","2205","4236 Veterans Blvd","Metairie","Louisiana","US","https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ","(504) 386-3304","Brunch restaurant","Breakfast restaurant","Cocktail bar","Lunch restaurant","Southern restaurant (US)",,,,,,"https://www.google.com/maps/search/?api=1&query=Ruby%20Slipper%20Veterans&query_place_id=ChIJMavwJc-xIIYRjXg6Hkqo4vg","Brunch restaurant"
"Vincent's","4.6","922","4411 Chastant St","Metairie","Louisiana","US","http://www.vincentsitaliancuisine.com/","(504) 885-2984","Italian restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vincent's&query_place_id=ChIJn1w2OOKwIIYRPBva_vLLNxE","Italian restaurant"
"Carrabba's Italian Grill","4.4","1817","4641 Veterans Blvd","Metairie","Louisiana","US","https://locations.carrabbas.com/louisiana/metairie/4641-veterans-blvd?y_source=1_MTU1MDI5MTUtNzE1LWxvY2F0aW9uLndlYnNpdGU=","(504) 779-2252","Italian restaurant","American restaurant","Bar","Bar & grill","Caterer","Gluten-free restaurant","Takeout Restaurant","Restaurant","Wine bar",,"https://www.google.com/maps/search/?api=1&query=Carrabba's%20Italian%20Grill&query_place_id=ChIJwc9sFUSwIIYRX2Lc6JtOrrw","Italian restaurant"
"Perks Coffee & Cafe","4.3","363","4300 Clearview Pkwy","Metairie","Louisiana","US","https://www.enjoyperks.com/","(504) 455-4609","Coffee shop","Breakfast restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Perks%20Coffee%20%26%20Cafe&query_place_id=ChIJE39bR_-wIIYRHfYSoR6bJDQ","Coffee shop"
"Gus's World Famous Fried Chicken","4.5","645","3940 Veterans Memorial Blvd","Metairie","Louisiana","US","http://www.gusfriedchicken.com/","(504) 287-4660","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gus's%20World%20Famous%20Fried%20Chicken&query_place_id=ChIJiWB-qYyxIIYRQxWIXsspiWg","Restaurant"
"Food-N-Fun","4","190","4320 Clearview Pkwy","Metairie","Louisiana","US","https://foodnfun.com/","(504) 888-0129","Restaurant","Gas station","Convenience store",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Food-N-Fun&query_place_id=ChIJAQCUFf-wIIYRZ9Q6_4bYr2k","Restaurant"
"Puccino's Coffee","4.1","271","4644 W Esplanade Ave","Metairie","Louisiana","US","https://www.lovepuccinos.com/","(504) 309-2646","Coffee shop","Brunch restaurant","Cafe",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Puccino's%20Coffee&query_place_id=ChIJw-fx7v6wIIYRC34dREO0PnY","Coffee shop"
"PJ's Coffee","4.4","113","4400 Clearview Pkwy","Metairie","Louisiana","US","https://locations.pjscoffee.com/la/metairie/coffee-shop-la0113.html","(504) 841-9691","Coffee shop","Bakery","Breakfast restaurant","Cafe","Catering food and drink supplier","Coffee roastery","Coffee stand","Coffee store","Pastry shop","Southern restaurant (US)","https://www.google.com/maps/search/?api=1&query=PJ's%20Coffee&query_place_id=ChIJUwUeD_-wIIYRiffd4f8YSkE","Coffee shop"
"Impastato's Restaurant","4.5","697","3400 16th St","Metairie","Louisiana","US","http://impastatos.com/","(504) 455-1545","Italian restaurant","Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Impastato's%20Restaurant&query_place_id=ChIJ81P76S-wIIYRH2CxY29nb6w","Italian restaurant"
"Drago's Seafood Restaurant - Metairie - The Original","4.6","6180","3232 N Arnoult Rd","Metairie","Louisiana","US","https://www.dragosrestaurant.com/","(504) 888-9254","Seafood restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Drago's%20Seafood%20Restaurant%20-%20Metairie%20-%20The%20Original&query_place_id=ChIJ9enwdjCwIIYROT2O-eK1uyw","Seafood restaurant"
"The Harbor Bar & Grill","4.4","1120","3024 17th St","Metairie","Louisiana","US","https://harborbargrill.com/","(504) 832-4117","Hamburger restaurant","Bar","Bar & grill","Caterer","Event venue","Seafood restaurant",,,,,"https://www.google.com/maps/search/?api=1&query=The%20Harbor%20Bar%20%26%20Grill&query_place_id=ChIJGdJGmSiwIIYRsB1MvFjf6oc","Hamburger restaurant"
"Ba Chi Kitchen And Bar","4.6","508","3547 18th St","Metairie","Louisiana","US","https://bachikitchenandbar.com/","(504) 584-8118","Vietnamese restaurant","Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ba%20Chi%20Kitchen%20And%20Bar&query_place_id=ChIJmybmkT2lIIYRRlZhmiC366A","Vietnamese restaurant"
"Causeway Cafe","4.9","31","3525 N Causeway Blvd STE 103","Metairie","Louisiana","US","http://causewaycafe.net/","(504) 833-2033","Sandwich shop","Cafe","Catering food and drink supplier","Coffee shop","Lunch restaurant",,,,,,"https://www.google.com/maps/search/?api=1&query=Causeway%20Cafe&query_place_id=ChIJ5xQHGv2xIIYRfIFLb37gfMQ","Sandwich shop"
"Knuckleheads Sports Bar & Grill","4.6","242","3535 Severn Ave Ste 10","Metairie","Louisiana","US",,"(504) 888-5858","Bar & grill","American restaurant","Hamburger restaurant","Pub","Restaurant","Seafood restaurant","Sports bar",,,,"https://www.google.com/maps/search/?api=1&query=Knuckleheads%20Sports%20Bar%20%26%20Grill&query_place_id=ChIJlxs34jGwIIYR6GgnSmGb-UU","Bar & grill"
"la Madeleine","4","701","3300 Severn Ave Suite 201 Ste 201","Metairie","Louisiana","US","https://lamadeleine.com/locations/metairie-severn","(504) 456-1624","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=la%20Madeleine&query_place_id=ChIJsUkcEDCwIIYR98aleRtBonk","Restaurant"
"Albasha Greek & Lebanese Café","4.3","687","3501 Severn Ave #1","Metairie","Louisiana","US","https://www.albashametairiela.com/","(504) 304-8441","Restaurant","Greek restaurant","Lebanese restaurant","Mediterranean restaurant",,,,,,,"https://www.google.com/maps/search/?api=1&query=Albasha%20Greek%20%26%20Lebanese%20Caf%C3%A9&query_place_id=ChIJY3TS3zGwIIYRHRmLmB2Z3Yk","Restaurant"
"Taqueria Corona","4.4","563","3535 Severn Ave","Metairie","Louisiana","US","http://www.taqueriacorona.com/","(504) 885-5088","Mexican restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Taqueria%20Corona&query_place_id=ChIJlxs34jGwIIYRuHZmpxiocO4","Mexican restaurant"
"Vinnie's Caddyshack Bar and Grill","4.5","359","3217 Ridgelake Dr","Metairie","Louisiana","US","https://vinniesbarandgrill.com/","(504) 827-1540","Restaurant","Bar & grill","Sports bar",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vinnie's%20Caddyshack%20Bar%20and%20Grill&query_place_id=ChIJeU2WGSawIIYRgxaADHuD0Tg","Restaurant"
"Hummus & More","4.6","533","3363 Severn Ave #8","Metairie","Louisiana","US","http://hummusandmore.com/","(504) 833-9228","Mediterranean restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hummus%20%26%20More&query_place_id=ChIJQbnS2y-wIIYR5iT16NIfNcQ","Mediterranean restaurant"
"Fleming’s Prime Steakhouse & Wine Bar","4.4","883","3064 N Causeway Blvd","Metairie","Louisiana","US","https://www.flemingssteakhouse.com/Locations/LA/Metairie?y_source=1_MTU1MDMxNjktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","(504) 799-0335","Fine dining restaurant","Bar","Bar & grill","Restaurant","Steak house","Wine bar",,,,,"https://www.google.com/maps/search/?api=1&query=Fleming%E2%80%99s%20Prime%20Steakhouse%20%26%20Wine%20Bar&query_place_id=ChIJt2UtvSywIIYRZ-xuPAai-d8","Fine dining restaurant"
"China Rose","4.1","650","3501 N Arnoult Rd","Metairie","Louisiana","US","https://www.chinarosenola.com/","(504) 887-3295","Chinese restaurant","Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=China%20Rose&query_place_id=ChIJNwtHuTGwIIYRuj_qUfmzIjc","Chinese restaurant"
"Oppa Korean Fried Chicken","4.1","70","3327 Severn Ave","Metairie","Louisiana","US",,,"Korean restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Oppa%20Korean%20Fried%20Chicken&query_place_id=ChIJeYNugNixIIYRTEm9GZxsjX4","Korean restaurant"
"Beraca Restaurant","4.2","411","3116 N Arnoult Rd","Metairie","Louisiana","US","https://www.facebook.com/BeracaRestaurant/","(504) 889-0962","Honduran restaurant","Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Beraca%20Restaurant&query_place_id=ChIJh1pq7TqwIIYRa1WByjQjM1s","Honduran restaurant"
"La Nueva Hacienda","4.1","397","3116 N Arnoult Rd G","Metairie","Louisiana","US",,"(504) 454-6358","Honduran restaurant","Latin American restaurant","Mexican restaurant","Restaurant",,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Nueva%20Hacienda&query_place_id=ChIJh1pq7TqwIIYRQl7OAlcDa2s","Honduran restaurant"
"Wishing Town restaurant & bakery","4.4","148","3535 Severn Ave STE 3","Metairie","Louisiana","US","http://www.wishingtown.com/","(504) 885-8272","Restaurant","Cake shop","Chinese bakery","Dessert restaurant","Dim sum restaurant","Dumpling restaurant",,,,,"https://www.google.com/maps/search/?api=1&query=Wishing%20Town%20restaurant%20%26%20bakery&query_place_id=ChIJ8Yxb-qSwIIYRvQPJS32LOsg","Restaurant"
"Hobnobber Cafe","4.6","282","5928 W Metairie Ave #8","Metairie","Louisiana","US","https://www.hobnobbercafe.com/","(504) 734-8448","Family restaurant","Bar",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hobnobber%20Cafe&query_place_id=ChIJJ9U5QZqwIIYREW0Jcaag9Ac","Family restaurant"
"Banh Mi Boys - Metairie","4.7","1378","5001 Airline Dr Suite B","Metairie","Louisiana","US","https://bmbsandwiches.com/?utm_source=google","(504) 510-5360","Vietnamese restaurant","Asian fusion restaurant","Asian restaurant","Barbecue restaurant","Caterer","Chicken restaurant","Chicken wings restaurant","Hamburger restaurant","Sandwich shop","Vegetarian restaurant","https://www.google.com/maps/search/?api=1&query=Banh%20Mi%20Boys%20-%20Metairie&query_place_id=ChIJcyjsxX-wIIYRapPJvoGbRWU","Vietnamese restaurant"
"Daisy Dukes Metairie","4.1","1147","5209 W Napoleon Ave","Metairie","Louisiana","US","https://www.daisydukesrestaurant.com/locations/5209-w-napoleon-ave-metairie","(504) 883-5513","Breakfast restaurant","American restaurant","Family restaurant","Seafood restaurant",,,,,,,"https://www.google.com/maps/search/?api=1&query=Daisy%20Dukes%20Metairie&query_place_id=ChIJU9n2EY2wIIYRLDrKfY5FQuA","Breakfast restaurant"
"Stepbrothers Neighborhood Bar & Grill","4.4","138","4971 W Napoleon Ave","Metairie","Louisiana","US","https://www.stepbrothersneighborhoodbarandgrill.com/","(504) 889-9856","Bar & grill","Restaurant","Sports bar",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Stepbrothers%20Neighborhood%20Bar%20%26%20Grill&query_place_id=ChIJ_xNffIuwIIYRG9vSwcLCKJk","Bar & grill"
"Gio's Pizza & Spaghetti House","4.5","271","4941 W Napoleon Ave","Metairie","Louisiana","US","https://giospizza1984.com/","(504) 885-3515","Italian restaurant","Pizza restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gio's%20Pizza%20%26%20Spaghetti%20House&query_place_id=ChIJC3m0eouwIIYR81Nb61qGB3g","Italian restaurant"
"Cicis Pizza","4.1","1645","6311 Airline Dr","Metairie","Louisiana","US","https://www.cicis.com/locations/la-metairie-6311-airline-dr?utm_source=google&utm_medium=local&utm_campaign=google-local","(504) 818-2422","Pizza restaurant","Buffet restaurant","Caterer","Chicken wings restaurant","Family restaurant","Italian restaurant","Takeout Restaurant","Pizza delivery","Pizza Takeout","Restaurant","https://www.google.com/maps/search/?api=1&query=Cicis%20Pizza&query_place_id=ChIJo-Gw856wIIYRCB6qHQlDO2U","Pizza restaurant"
"MEAUX JEAUX PIZZA","4.4","293","2221 Transcontinental Dr","Metairie","Louisiana","US","http://eatmeauxjeauxpizza.com/","(504) 455-2252","Pizza restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MEAUX%20JEAUX%20PIZZA&query_place_id=ChIJ2-gSScuxIIYR1cZl77TmcY8","Pizza restaurant"
"Piccadilly","4.1","1149","2222 Clearview Pkwy Suite 107","Metairie","Louisiana","US","http://www.piccadilly.com/","(504) 454-6271","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Piccadilly&query_place_id=ChIJG4OBrVuwIIYRJpvNRuVqq40","Restaurant"
"CLAY'S CAFE","4.8","37","7933 Airline Dr","Metairie","Louisiana","US",,"(504) 345-2334","American restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CLAY'S%20CAFE&query_place_id=ChIJdbHMZKuwIIYRp_vcdZ2TfNI","American restaurant"
"St Mary's Restaurant","4.8","46","4445 W Metairie Ave","Metairie","Louisiana","US","http://stmarys-restaurant.com/","(504) 264-7594","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=St%20Mary's%20Restaurant&query_place_id=ChIJB0WoJsSxIIYRXIxvKw-46Ms","Restaurant"
"Spudly's Super Spuds","4.6","941","2609 Harvard Ave","Metairie","Louisiana","US","http://www.spudlys.com/","(504) 455-3250","American restaurant","Takeout Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Spudly's%20Super%20Spuds&query_place_id=ChIJuZNuPvWwIIYRePxPg9a4iVs","American restaurant"
"Cathay Imperial","4","303","6501 Airline Dr","Metairie","Louisiana","US",,"(504) 733-8415","Chinese restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cathay%20Imperial&query_place_id=ChIJ3bu-cp-wIIYRpgrhfy9gAc4","Chinese restaurant"
"Bon Temps Boulets Seafood","4.6","541","4701 Airline Dr","Metairie","Louisiana","US","http://bontempsboulets.com/","(504) 885-5003","Seafood restaurant","Bar & grill","Barbecue restaurant","Seafood market",,,,,,,"https://www.google.com/maps/search/?api=1&query=Bon%20Temps%20Boulets%20Seafood&query_place_id=ChIJeZN-oYexIIYRiLUSIQtDPts","Seafood restaurant"
"Zea Rotisserie & Bar","4.5","1705","4450 Veterans Blvd","Metairie","Louisiana","US","http://zearestaurants.com/locations/metairie/","(504) 780-9090","New American restaurant","American restaurant","Bar",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Zea%20Rotisserie%20%26%20Bar&query_place_id=ChIJU2A2YlmwIIYRXWNDtpPERSo","New American restaurant"
"RUMBA Island Inspired Cuisine & Rum Bar","4.4","412","5257 Veterans Memorial Blvd","Metairie","Louisiana","US","https://tasterumba.com/metairie-LA/","(504) 224-4504","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RUMBA%20Island%20Inspired%20Cuisine%20%26%20Rum%20Bar&query_place_id=ChIJx_xn1fixIIYRFc4NpPjkb4Q","Restaurant"
"Don’s Seafood - Metairie","4.1","2872","4801 Veterans Memorial Blvd","Metairie","Louisiana","US","https://www.donsseafoodonline.com/","(504) 889-1550","Seafood restaurant","Brunch restaurant","Creole restaurant","Family restaurant","Takeout Restaurant",,,,,,"https://www.google.com/maps/search/?api=1&query=Don%E2%80%99s%20Seafood%20-%20Metairie&query_place_id=ChIJOesOIPewIIYRJbfHyuju44o","Seafood restaurant"
"Pacos Tacos (Metairie)","4.5","757","4726 Veterans Blvd","Metairie","Louisiana","US","https://pacostacos.la/pacostacosmetairie-q1xolo?utm_source=google","(985) 322-6871","Taco restaurant","Burrito restaurant","Caterer","Family restaurant","Mexican restaurant","Mexican torta restaurant",,,,,"https://www.google.com/maps/search/?api=1&query=Pacos%20Tacos%20(Metairie)&query_place_id=ChIJ6QZ04cGxIIYR4yMOPHdWGd0","Taco restaurant"
"Foodies Destination","5","2","3324 Transcontinental Dr","Metairie","Louisiana","US","https://www.facebook.com/koreanfoodnola/","(504) 330-5545","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Foodies%20Destination&query_place_id=ChIJJ6RVuOuxIIYRus93Bz9E-KA","Restaurant"
"nectar ice (snoballs • softserve • coffee)","4.9","77","3304 Green Acres Rd Unit B","Metairie","Louisiana","US","https://www.nolanectar.com/",,"Coffee shop","Dessert shop","Ice cream shop","Vegan restaurant",,,,,,,"https://www.google.com/maps/search/?api=1&query=nectar%20ice%20(snoballs%20%E2%80%A2%20softserve%20%E2%80%A2%20coffee)&query_place_id=ChIJy5JwvmexIIYRHPj3Olu5WR8","Coffee shop"
"Phở NOLA","4.5","648","3320 Transcontinental Dr","Metairie","Louisiana","US","http://www.pho-nola.com/","(504) 941-7690","Vietnamese restaurant","Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20NOLA&query_place_id=ChIJQcNFNvCwIIYRWxjrN59i1_M","Vietnamese restaurant"
"Izakaya Little Tokyo Restaurant","4.3","783","4704 Veterans Memorial Blvd","Metairie","Louisiana","US","https://izakayatokyo.top/","(504) 885-6125","Japanese restaurant","Restaurant","Sushi restaurant",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Izakaya%20Little%20Tokyo%20Restaurant&query_place_id=ChIJ4cWNQT-wIIYRWQVEjE5JqX0","Japanese restaurant"
"Kasech injera","5","5","3209 Roberta St","Metairie","Louisiana","US",,"(504) 275-9677","Ethiopian restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kasech%20injera&query_place_id=ChIJm3zoHAexIIYRDmrAomoMpB0","Ethiopian restaurant"
"Saltgrass Steak House","4.2","3095","4860 Veterans Blvd","Metairie","Louisiana","US","https://www.saltgrass.com/location/saltgrass-metairie/","(504) 780-2668","Steak house","American restaurant","Seafood restaurant",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Saltgrass%20Steak%20House&query_place_id=ChIJ6UoCMPGwIIYRgS1zvEsc_Zw","Steak house"
"Bonefish Grill","4.2","1617","4848 Veterans Memorial Blvd Suite B","Metairie","Louisiana","US","https://locations.bonefishgrill.com/louisiana/metairie/4848-veteran's-memorial-blvd?y_source=1_MTU1MDI4MTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","(504) 780-9964","Seafood restaurant","American restaurant","Bar & grill","Brunch restaurant","Californian restaurant","Caterer","Gluten-free restaurant","Takeout Restaurant","Restaurant","Wine bar","https://www.google.com/maps/search/?api=1&query=Bonefish%20Grill&query_place_id=ChIJ0z-QgcWDt4cR3XGt3KP8ozc","Seafood restaurant"
"Sabor latino bar and restaurant LLC","4.1","130","3316 Green Acres Rd","Metairie","Louisiana","US",,"(504) 381-4108","Spanish restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sabor%20latino%20bar%20and%20restaurant%20LLC&query_place_id=ChIJdbb1A36xIIYRb5iPI613Bp0","Spanish restaurant"
"Smalls Sliders","4","318","4580 Veterans Blvd","Metairie","Louisiana","US","http://smallssliders.olo.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ","(504) 324-2883","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Smalls%20Sliders&query_place_id=ChIJua2DGnixIIYRxcuof4-s6lE","Restaurant"
"MANTRA Original Indian Cuisine","4.8","110","3116 S I-10 Service Rd W","Metairie","Louisiana","US","https://mantraoriginalindiancuisine.com/?map","(504) 354-8349","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MANTRA%20Original%20Indian%20Cuisine&query_place_id=ChIJuaDmIQCxIIYRjffGUGweCX4","Restaurant"
"Rock N Roll Kitchen Nola","4.5","49","1300 N Causeway Blvd","Metairie","Louisiana","US",,,"American restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rock%20N%20Roll%20Kitchen%20Nola&query_place_id=ChIJKwRmtVaxIIYRtcs_yG7UUes","American restaurant"
"Chef Ron's Gumbo Stop","4.6","2564","2309 N Causeway Blvd","Metairie","Louisiana","US","http://www.gumbostop.com/","(504) 835-2022","Creole restaurant","Seafood restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Chef%20Ron's%20Gumbo%20Stop&query_place_id=ChIJKQ9b3xiwIIYRWViWuSDX_4g","Creole restaurant"
"Seiji's","5","58","2300 N Causeway Blvd","Metairie","Louisiana","US","http://www.littletokyonola.com/seijis-omakase.html","(504) 434-8897","Japanese restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seiji's&query_place_id=ChIJk8pLHRmwIIYRsR1QEa5rNiM","Japanese restaurant"
"Ruby Slipper Old Metairie","4.6","2321","2700 Metairie Rd","Metairie","Louisiana","US","https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ","(504) 370-8090","Brunch restaurant","Breakfast restaurant","Cocktail bar","Lunch restaurant","Southern restaurant (US)",,,,,,"https://www.google.com/maps/search/?api=1&query=Ruby%20Slipper%20Old%20Metairie&query_place_id=ChIJc4iCgJixIIYRkOCJJmj_aQE","Brunch restaurant"
"Ristorante Filippo","4.4","442","1917 Ridgelake Dr","Metairie","Louisiana","US","http://ristorantefilippo.com/","(504) 835-4008","Italian restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ristorante%20Filippo&query_place_id=ChIJfzF5qx6wIIYRQZuGP_iUTBQ","Italian restaurant"
"Tic-Toc Café","4.4","1948","3205 36th St","Metairie","Louisiana","US","https://tictoc-cafe.com/","(504) 834-6272","Diner","Breakfast restaurant","Cafe","Hamburger restaurant",,,,,,,"https://www.google.com/maps/search/?api=1&query=Tic-Toc%20Caf%C3%A9&query_place_id=ChIJBdtFDhmwIIYRjr5In-1B9t0","Diner"
"Garrison Kitchen + Cocktails","4.2","138","2918 Metairie Rd","Metairie","Louisiana","US","https://www.garrisonkitchen.com/","(504) 224-9330","American restaurant","Cocktail bar",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Garrison%20Kitchen%20%2B%20Cocktails&query_place_id=ChIJQ-qfCdaxIIYR8RYsRiI5eXI","American restaurant"
